id,emb_x,emb_y,Year,Month,period_label,logan_passengers,logan_intl_flights,hotel_occup_rate,hotel_avg_daily_rate
0,-0.9972017040835248,0.10795448977708004,2013,1,2013-01,2019662,2986,0.572,158.93
1,-0.95821526757537,-0.13581858657507628,2013,2,2013-02,1878731,2587,0.645,165.5
2,-0.39058736562739826,-0.16181638386374608,2013,3,2013-03,2469155,3250,0.819,187.45
3,-0.1569438068790453,-0.24953158944742773,2013,4,2013-04,2551246,3408,0.855,233.44
4,-0.14108606371994437,-0.281069152784715,2013,5,2013-05,2676291,3240,0.858,237.89
5,0.018429834963294756,-0.30430915974807793,2013,6,2013-06,2824862,3402,0.911,244.45
6,-0.014525722992542622,-0.13100040973066457,2013,7,2013-07,2978718,3660,0.886,221.2
7,0.05443620709956276,-0.16247919030267305,2013,8,2013-08,3020074,3700,0.917,223.0
8,-0.09871884489346872,-0.3947776312313892,2013,9,2013-09,2504491,3181,0.881,255.5
9,0.06206248250226398,-0.5064654634875475,2013,10,2013-10,2672640,3056,0.915,287.47
10,-0.46449485942130686,-0.3464611616029073,2013,11,2013-11,2296667,2708,0.786,222.55
11,-0.9403475257938994,0.09381317981260577,2013,12,2013-12,2345162,2780,0.589,157.89
12,-0.9630056635028013,-0.026531750371841953,2014,1,2014-01,2016205,2714,0.605,168.48
13,-0.9251948091457004,-0.1389803831633065,2014,2,2014-02,1935511,2591,0.647,171.5
14,-0.40473007386487925,-0.14635700266589008,2014,3,2014-03,2555815,3152,0.788,198.65
15,-0.035103360040931175,-0.34216232419889925,2014,4,2014-04,2551246,3408,0.883,260.13
16,0.06696041386796225,-0.2854514137955493,2014,5,2014-05,2877233,3478,0.894,262.22
17,0.13096163359777613,-0.2457443140091456,2014,6,2014-06,2938917,3674,0.911,259.62
18,0.21679198453061987,-0.13198895532585808,2014,7,2014-07,3137087,4000,0.931,245.93
19,0.20663311421447728,-0.1366971459343092,2014,8,2014-08,3136875,3962,0.926,247.29
20,0.09912216228589954,-0.3871457840381358,2014,9,2014-09,2672685,3444,0.901,285.83
21,0.09818112749145969,-0.37178705456006744,2014,10,2014-10,2799342,3356,0.888,288.5
22,-0.2850136153381314,-0.3066638568038226,2014,11,2014-11,2422024,3055,0.797,249.72
23,-0.7436829582128932,0.11628399303858614,2014,12,2014-12,2420784,3179,0.62,180.79
24,-0.8042741116472889,-0.017550995271844484,2015,1,2015-01,2108046,3009,0.652,174.51
