emb_x,emb_y,Year,Month,period_label
-3.6044080925280992,0.49122125342324396,2013,1,2013-01
-3.6235120419525644,-0.3840414034629847,2013,2,2013-02
-1.5843210452897412,-0.4768610367232609,2013,3,2013-03
-0.7642864864463329,-0.8741463871882339,2013,4,2013-04
-0.7018755873605372,-0.9927450399076563,2013,5,2013-05
-0.14009573341181844,-1.0762559474952218,2013,6,2013-06
-0.16087062353696957,-0.41098343414600985,2013,7,2013-07
0.06477921178200981,-0.5207375467051821,2013,8,2013-08
-0.6260703136020072,-1.4341957520487172,2013,9,2013-09
-0.07217967232643488,-1.887941523585904,2013,10,2013-10
-1.9198576418087285,-1.217251659725798,2013,11,2013-11
-3.367852105309924,0.4525374492322659,2013,12,2013-12
-3.551732035136638,-0.0032285373007958458,2014,1,2014-01
-3.4957530803910255,-0.40576255754935614,2014,2,2014-02
-1.5943392485915218,-0.4476724254101765,2014,3,2014-03
-0.3663875418078106,-1.2537540911435807,2014,4,2014-04
0.06807316251555072,-1.0461517491161891,2014,5,2014-05
0.314368648945635,-0.8944737152800746,2014,6,2014-06
0.6836798458300276,-0.45228641996888347,2014,7,2014-07
0.6483285812719976,-0.4727613070796649,2014,8,2014-08
0.118839310357393,-1.4601420832088436,2014,9,2014-09
0.1484981761682135,-1.4102189663834515,2014,10,2014-10
-1.230408137245952,-1.1243040002325413,2014,11,2014-11
-2.6436913653348832,0.49457833028707593,2014,12,2014-12
-2.984355913731404,0.027372295397894816,2015,1,2015-01
-3.299251030323622,-0.575906599629356,2015,2,2015-02
-0.8387436196852766,-0.7897622449317117,2015,3,2015-03
-0.6725687329003902,-0.32008602941611586,2015,4,2015-04
0.5877214687901962,-0.8658006264605845,2015,5,2015-05
0.904464147803387,-0.7433850849715837,2015,6,2015-06
1.2593185978983392,-0.39277213815787526,2015,7,2015-07
1.0325919287788952,-0.23227723574146172,2015,8,2015-08
0.43962074117753874,-1.1490336817964244,2015,9,2015-09
0.8760036787850951,-1.1644783012601094,2015,10,2015-10
-0.9255806792696156,-0.6836010949996533,2015,11,2015-11
-2.1228770385622178,0.8505904813462403,2015,12,2015-12
-2.491179757989934,0.670366513881362,2016,1,2016-01
-2.5995595948673795,0.2395744360902804,2016,2,2016-02
-0.4741585969279907,0.20376166071101548,2016,3,2016-03
0.4515959442462677,0.09109764601364106,2016,4,2016-04
1.1118050044870031,0.18334559325037864,2016,5,2016-05
1.7291591295559865,0.1178447449602466,2016,6,2016-06
1.8520801255026371,0.4900578906721435,2016,7,2016-07
1.7642987985401344,0.4934456619143991,2016,8,2016-08
1.3102174523297092,-0.509274067810927,2016,9,2016-09
1.1965944913416748,-0.6007575471074674,2016,10,2016-10
-0.3239325503029142,-0.1781899505207492,2016,11,2016-11
-1.5201027344962723,1.3827878280819401,2016,12,2016-12
-1.9931360256746053,1.4375082722859258,2017,1,2017-01
-2.270338479731129,0.5962481631767121,2017,2,2017-02
-0.011935526338812098,0.4683820134979291,2017,3,2017-03
1.4181267144444045,-0.04223875226292881,2017,4,2017-04
1.8201274872278541,-0.021032091502360507,2017,5,2017-05
1.9776664849265206,0.1330820460594049,2017,6,2017-06
2.1374917516219045,0.6982536931282711,2017,7,2017-07
2.03264477647517,0.808639211975231,2017,8,2017-08
1.2769738114289433,-0.26475672718099663,2017,9,2017-09
1.7205797910560547,-0.6414395899006583,2017,10,2017-10
0.0035287139111517553,0.021142958570152706,2017,11,2017-11
-1.3865314097055275,1.5629225225316272,2017,12,2017-12
-2.04350654789609,1.2079298651529335,2018,1,2018-01
-1.982130427771948,0.853563868924982,2018,2,2018-02
0.2857815324240552,0.48696276151652157,2018,3,2018-03
1.4704798267146078,0.2698426092844226,2018,4,2018-04
2.0783207082190827,0.38523371777144805,2018,5,2018-05
2.436894428034155,0.3225146415292732,2018,6,2018-06
2.5082060868360365,0.9201496469627745,2018,7,2018-07
2.5882640698538677,0.8448458401245189,2018,8,2018-08
2.0102695268239734,-0.10067281711215553,2018,9,2018-09
2.4409521340832665,-0.37989661116600204,2018,10,2018-10
0.37581897087397087,0.18187919519257384,2018,11,2018-11
-0.9956785489975628,1.8650765316527456,2018,12,2018-12
-1.8315917422783596,1.497236879924087,2019,1,2019-01
-1.6010955377033926,0.6424266581750263,2019,2,2019-02
0.6102671240157437,1.0134389444518719,2019,3,2019-03
1.9501428612401188,0.5404001383505084,2019,4,2019-04
2.4681138714507913,0.528523225222228,2019,5,2019-05
2.6865046192051545,0.4885348077742518,2019,6,2019-06
2.7245051063505166,1.0992680409427313,2019,7,2019-07
2.5213429740714792,1.2603059744700236,2019,8,2019-08
2.0038735324709958,-0.06800512265983102,2019,9,2019-09
2.1439088304903753,-0.15949420534803604,2019,10,2019-10
0.12946532390923426,0.30866136396010735,2019,11,2019-11
-0.5663942570316824,1.4972207257291024,2019,12,2019-12
