Year,Month,period_label,med_housing_price,log_housing_sales_vol,log_pipeline_unit,log_pipeline_const_jobs,log_new_housing_const_permits,emb_x,emb_y
2013,1,2013-01,380000,6.0063531596017325,5.799092654460526,5.43372200355424,6.282266746896006,0.04049403166041851,-0.3730517270792859
2013,2,2013-02,359500,5.808142489980444,6.324358962381311,6.697034247666484,5.2832037287379885,0.208079539743665,-0.643607625120788
2013,3,2013-03,400000,6.173786103901937,4.852030263919617,4.859812404361672,2.5649493574615367,-0.5455238753633146,-0.6774091354136084
2013,4,2013-04,403000,6.326149473155099,5.786897381366708,5.541263545158426,4.5217885770490405,-0.19244384522485194,-0.37117303136798097
2013,5,2013-05,425500,6.697034247666484,4.812184355372417,5.998936561946683,4.1588830833596715,-0.2762737461879656,-0.17929312195259858
2013,6,2013-06,445000,6.762729506931879,6.180016653652572,6.0063531596017325,5.8664680569332965,-0.012842346224645819,0.1413801660258931
2013,7,2013-07,429000,6.813444599510896,7.227662498728654,6.937314081223682,6.137727054086234,0.21417193485871272,0.12012392122320058
2013,8,2013-08,435000,6.897704943128636,4.90527477843843,5.318119993844216,3.044522437723423,-0.5497778103547971,-0.21309749792631674
2013,9,2013-09,438000,6.519147287940395,6.726233402358747,7.014814351275545,5.8805329864007,0.2424157687157168,0.04287965999844215
2013,10,2013-10,465000,6.429719478039138,6.297109319933935,7.950149887652018,3.7612001156935624,0.1827300002837573,-0.09664770935598081
2013,11,2013-11,450000,6.3473892096560105,7.024649030453636,8.28828304520769,6.569481420414296,0.5999359846228024,0.14651861743561304
2013,12,2013-12,429000,6.3835066348840055,6.881411303642535,7.785720896534624,5.3471075307174685,0.34937103796826213,-0.09985821112083788
2014,1,2014-01,475000,6.089044875446846,7.392031567514591,7.946971357693591,5.5254529391317835,0.5198204565325947,0.056648129392820365
2014,2,2014-02,459400,5.953243334287785,6.610696044717759,6.555356891810665,6.0014148779611505,0.3097204738177138,-0.02045103808697474
2014,3,2014-03,474389,6.171700597410915,0.0,6.984716320118266,4.2626798770413155,-0.21524141235414532,-0.0664592994209871
2014,4,2014-04,470000,6.131226489483141,6.366470447731438,6.756932389247553,5.991464547107982,0.2968096171876032,0.08978557263880917
2014,5,2014-05,465000,6.996681488176539,6.79794041297493,6.953684210870537,6.152732694704104,0.1767116686347479,0.3585316329838998
2014,6,2014-06,480000,7.759187438507795,5.480638923341991,5.645446897643238,5.8289456176102075,-0.31762279526814285,0.6205995678784204
2014,7,2014-07,450000,7.827639546366422,3.8918202981106265,5.0238805208462765,6.3784261836515865,-0.48661790806890093,0.5572676255483472
2014,8,2014-08,456000,7.385851078125209,3.4965075614664802,4.499809670330265,4.04305126783455,-0.7542320315643009,0.15890899946768508
2014,9,2014-09,462000,6.403574197934815,5.872117789475416,5.905361848054571,5.869296913133774,0.0436270766086917,0.11203317258938057
2014,10,2014-10,450000,7.409741954080923,5.278114659230517,6.456769655572163,5.6131281063880705,-0.1542983176037737,0.3469046717851172
2014,11,2014-11,460500,6.042632833682381,5.700443573390687,5.783825182329737,6.4457198193855785,0.1560981311665596,0.05986890610880441
2014,12,2014-12,478000,6.263398262591624,5.187385805840755,5.736572297479192,4.477336814478207,-0.1357212877640644,-0.02241799239846369
2015,1,2015-01,475000,5.91350300563827,3.5553480614894135,4.836281906951478,6.5998704992128365,-0.07144053138262353,0.10326986039103218
2015,2,2015-02,465000,5.811140992976701,6.493753839851686,6.1224928095143865,4.976733742420574,0.1508924348661604,-0.16695245801945185
2015,3,2015-03,465000,6.1070228877422545,4.941642422609304,6.194405391104672,5.736572297479192,0.09482354999096818,0.023294348569602514
2015,4,2015-04,480000,6.240275845170769,6.113682179832232,6.922643891475888,4.477336814478207,0.12633420070315116,-0.007596004773795064
