emb_x,emb_y,Year,Month,period_label,logan_passengers
-0.5643917684317631,-0.07931211944514602,2013,1,2013-01,2019662
-0.7162268890463706,-0.022935139130734084,2013,2,2013-02,1878731
-0.35515776451338144,-0.0008035283938776262,2013,3,2013-03,2469155
-0.2870074205716377,-0.01458375378087195,2013,4,2013-04,2551246
-0.29464030454163276,0.06909483053563047,2013,5,2013-05,2676291
-0.20510098492519857,0.0759018909208594,2013,6,2013-06,2824862
-0.08776937190177547,0.05983953961839758,2013,7,2013-07,2978718
-0.06423446625671081,0.06303903618099566,2013,8,2013-08,3020074
-0.3631845918331883,0.028355997732306654,2013,9,2013-09,2504491
-0.3459307746212509,0.11503397096921494,2013,10,2013-10,2672640
-0.5556233768770971,0.08193981321053101,2013,11,2013-11,2296667
-0.5211825235025375,0.07926427216590534,2013,12,2013-12,2345162
-0.63962008736882,-0.0107713751334505,2014,1,2014-01,2016205
-0.6977995940610249,-0.005501194481768827,2014,2,2014-02,1935511
-0.3554220718303324,0.05246822066698484,2014,3,2014-03,2555815
-0.2870074205716377,-0.01458375378087195,2014,4,2014-04,2551246
-0.16838590411056098,0.07346190702160738,2014,5,2014-05,2877233
-0.09610401022730175,0.04331508697515213,2014,6,2014-06,2938917
0.0533011037192368,0.024242486035001447,2014,7,2014-07,3137087
0.04287399768147426,0.033906117743899865,2014,8,2014-08,3136875
-0.2401117166968892,0.015674141035075875,2014,9,2014-09,2672685
-0.2254368825629257,0.07938718599262774,2014,10,2014-10,2799342
-0.42272352725991397,0.03381815885833697,2014,11,2014-11,2422024
-0.3892880631085912,0.0016562036639826416,2014,12,2014-12,2420784
-0.531133702040631,-0.05647040934131238,2015,1,2015-01,2108046
-0.6929939441874338,-0.0063956237019647325,2015,2,2015-02,1941426
-0.28214425180016367,0.07474909385044194,2015,3,2015-03,2704714
-0.16826352094508135,0.046815629716336446,2015,4,2015-04,2833871
-0.05119419744153475,0.04905368321127587,2015,5,2015-05,3017234
0.028546479262625768,0.02794125084399831,2015,6,2015-06,3105133
0.15998425857474718,0.054220964968345664,2015,7,2015-07,3349845
0.14908941797061648,0.04917861203110242,2015,8,2015-08,3324880
-0.1298990330845513,0.008972455675692624,2015,9,2015-09,2830912
-0.05527131148082187,0.06875700144031584,2015,10,2015-10,3043178
-0.29020753472782956,0.045944958018924856,2015,11,2015-11,2645260
-0.23571441390957099,-0.06653126252846378,2015,12,2015-12,2545081
-0.3328750831397511,-0.09893962231053398,2016,1,2016-01,2342969
-0.42419400765934884,-0.04097323154376,2016,2,2016-02,2297530
-0.04742275920138628,-0.03928269494850695,2016,3,2016-03,2878649
0.09942151418290435,-0.1108097920025668,2016,4,2016-04,2987158
0.2231649597519585,-0.06867806194683283,2016,5,2016-05,3245967
0.3268682936491336,-0.06755589698106362,2016,6,2016-06,3406989
0.42111392267318704,-0.06010965247408542,2016,7,2016-07,3563829
0.40583269222241625,-0.050696124681749055,2016,8,2016-08,3555757
0.1345676343862704,-0.07994677665326064,2016,9,2016-09,3091550
0.0999689860754085,0.01819140194277004,2016,10,2016-10,3198834
-0.09306120836289178,0.029614513403672292,2016,11,2016-11,2921196
-0.03207897058195297,-0.10327569846876011,2016,12,2016-12,2797614
-0.10837506794934404,-0.1500821440619161,2017,1,2017-01,2603998
-0.301727671630459,-0.11167926491860442,2017,2,2017-02,2369960
0.0829234195214893,-0.040941802903252444,2017,3,2017-03,3076023
0.24006147729831662,-0.06872132040515452,2017,4,2017-04,3271833
0.31496234996851546,-0.020668085133883886,2017,5,2017-05,3465345
0.3760706708326875,-0.02445930055130131,2017,6,2017-06,3552952
0.5053965782868428,-0.0660034233962732,2017,7,2017-07,3683573
0.5090030132192109,-0.023911346215323183,2017,8,2017-08,3757903
0.1748739905456912,-0.06490156099946891,2017,9,2017-09,3178011
0.18866116370094044,0.07710319867769912,2017,10,2017-10,3431263
0.005683877881028199,0.03966554702574615,2017,11,2017-11,3089200
0.026886860029490922,-0.07710686344591616,2017,12,2017-12,2930898
-0.15502112474010754,-0.12324231074324653,2018,1,2018-01,2576261
-0.20072192696785585,-0.06260840287364745,2018,2,2018-02,2605207
0.14177614003661887,-0.02199738840819592,2018,3,2018-03,3197326
0.3074466927996615,0.012860916460268268,2018,4,2018-04,3508607
0.43480579095661276,0.01348603201810493,2018,5,2018-05,3705129
0.4916671350822357,0.04451818276685758,2018,6,2018-06,3843131
0.6153521264969066,0.02429114213769376,2018,7,2018-07,3999933
0.6176650237733408,0.04915860858793139,2018,8,2018-08,4044126
0.33397415162062805,-0.08239508848591337,2018,9,2018-09,3393644
0.3594162866709303,0.0676471787442519,2018,10,2018-10,3677923
0.09821585716513792,0.07971427750433421,2018,11,2018-11,3296694
0.15029676593803298,-0.09325510472035081,2018,12,2018-12,3093944
-0.06645441327571,-0.12457478998497745,2019,1,2019-01,2710036
-0.1658545925043199,-0.027124067035540128,2019,2,2019-02,2716724
0.2937090230835824,-0.005590990360113211,2019,3,2019-03,3457362
0.4400479615992281,-0.02683526773034703,2019,4,2019-04,3647276
0.5272661399277894,0.03323944631055239,2019,5,2019-05,3879343
0.5608316630073593,0.0427469891090618,2019,6,2019-06,3946406
0.6823757592289637,0.005486066467836004,2019,7,2019-07,4072082
0.6782039657529748,0.03929655961631214,2019,8,2019-08,4120937
0.338424444465375,0.007591086257700309,2019,9,2019-09,3547546
0.3527224803549085,0.13101363954781323,2019,10,2019-10,3771212
0.08090278481989543,0.0760352595505837,2019,11,2019-11,3264105
0.1726013962369175,0.06656167889086505,2019,12,2019-12,3389382
